DATE,regime,regime_label,sim_persistent_stress_indicator,sim_noisy_leading_indicator,sim_noisy_leading_indicator_lag1,sim_irrelevant_noise,sim_charge_off_rate,sim_quarterly_pd,sim_annual_pd,sim_oracle_alpha
1990-06-30,0,normal,-0.5412010970947677,-1.2538202139922185,-0.010187649461177768,-1.3699443758996306,0.0026463271838161975,0.005880727075147105,0.023316222890597205,0.6733033622562583
1990-09-30,0,normal,-0.9495265062289192,-0.642117575117407,-1.2538202139922185,0.4321637175600871,0.001423731558268548,0.00316384790726344,0.01259545860700284,0.761294421727461
1990-12-31,0,normal,-1.7476341711503647,0.06181941317642792,-0.642117575117407,-1.023091009628976,0.0015497343679169388,0.0034438541509265305,0.013704419052817385,0.748043915500206
1991-03-31,0,normal,-1.395878449410925,-0.1404364048913065,0.06181941317642792,0.515283243453701,0.001291264695263474,0.002869477100585498,0.011428599449496701,0.7771716928670869
1991-06-30,0,normal,-1.5603969636146666,-0.47040044492900424,-0.1404364048913065,-0.09974901231174961,0.002376085571213372,0.005280190158251938,0.02095406626247298,0.687454265684685
1991-09-30,0,normal,-1.527951817247465,0.8591553409346144,-0.47040044492900424,-1.8255193724689966,0.0022372704688643037,0.004971712153031786,0.019739032032323522,0.6954979855561371
1991-12-31,1,stress,-0.7578939312006265,0.7169885777348156,0.8591553409346144,0.9758082684615534,0.00635405619797924,0.014120124884398311,0.05529545319042917,0.5542616433148526
1992-03-31,1,stress,0.05263319218219342,1.1043040295945534,0.7169885777348156,-0.5808983331465732,0.009635418892518312,0.021412041983374028,0.08293637207249271,0.4910895385059999
1992-06-30,1,stress,1.199019850689841,1.2181697298326366,1.1043040295945534,-0.5087123658587234,0.007625015455168519,0.016944478789263376,0.06607460063379211,0.5266955077289515
1992-09-30,0,normal,0.9157805627914706,-2.6480449246745077,1.2181697298326366,-1.0527454082895948,0.003716469022620224,0.008258820050267164,0.03262828017096664,0.6292628370114541
1992-12-31,0,normal,0.5589247670245249,-0.4174349694802235,-2.6480449246745077,-0.6309332952516664,0.002278653021600915,0.005063673381335366,0.020101367485519495,0.6930366053878227
1993-03-31,0,normal,-0.08845508146387666,-0.021672377707229882,-0.4174349694802235,0.4677619973369004,0.002089666553309113,0.004643703451798029,0.018445829998643082,0.7047722229979307
1993-06-30,0,normal,-0.8700495154138788,0.09272192240817141,-0.021672377707229882,-0.1587945975793358,0.002636476119446362,0.005858835820991916,0.023230190803222195,0.6737892740219765
1993-09-30,0,normal,-1.0049511064768428,-0.5467485381767744,0.09272192240817141,0.3670186356903464,0.0035258157306736187,0.007835146068163597,0.030974167403759356,0.6361487394338
1993-12-31,0,normal,-0.934394066773994,-1.8725936271362345,-0.5467485381767744,0.40078626638501935,0.0014849905442312842,0.0032999789871806314,0.013134720407492417,0.7546516398692734
1994-03-31,0,normal,-0.12623258668620815,0.12336086164795775,-1.8725936271362345,1.374163174283239,0.001757998574215495,0.003906663498256656,0.015535320136266573,0.7291909402749273
1994-06-30,0,normal,-0.15546949435715088,1.4631340773915726,0.12336086164795775,-0.314680534442993,0.0030696519596116875,0.006821448799137083,0.027007869716079713,0.6540922438292249
1994-09-30,0,normal,0.17290419972383195,-1.6592221651248542,1.4631340773915726,-1.466066103005468,0.00593803284295223,0.013195628539893844,0.05174692689964577,0.5642914146512017
1994-12-31,0,normal,-0.17594740603845965,0.6363787949677739,-1.6592221651248542,1.1168546716595564,0.001620206797136744,0.0036004595491927645,0.01432424487040962,0.7412836777720121
