time,activity,labour_market_stress,financial_conditions,true_stress_probability,stress_regime,charge_off_rate,oracle_alpha,oracle_utility
2000-01-01,0.0,0.0,0.0,0.14804719803168948,0,0.00931701290145018,0.4961566254142637,1.201851335905885
2000-04-01,0.17677047735491663,-0.05881806108422791,0.5921339210775284,0.189568216430223,1,0.02076664230128206,0.3923154703902626,1.1146869847665934
2000-07-01,0.591093603148265,0.9396858060134632,1.0795047078800115,0.3912290140910319,0,0.010680771731570156,0.47577266223534675,1.1870701391031018
2000-10-01,0.4367841454382422,0.8377023234983211,0.9922396700078913,0.38176920382333895,1,0.01692647328035057,0.4144255857427166,1.137065156833681
2001-01-01,0.19518505423738264,0.046005359332087714,0.3557056017711643,0.1722374281353561,0,0.005587247670520155,0.5731804881708655,1.2545652306122301
2001-04-01,-0.34927100206889794,-0.15964135073285177,0.0262025011332494,0.17044075016671614,0,-0.0031086826613911153,0.9999999700466811,1.531086810706098
2001-07-01,0.04322868258238899,-0.11885906796166336,-0.6288764711968216,0.0806012700405608,0,0.003798093680371744,0.6264056994443205,1.289411374438077
2001-10-01,-0.24543912928969253,0.23476756267277543,-0.14934609836884416,0.1907272297316529,0,0.011273875564015073,0.4679036538391726,1.1812009512262782
2002-01-01,-0.35460331297338443,-0.12753333334839906,-0.7327487298606038,0.10041876476311577,0,0.008422922505506029,0.5114954652073572,1.2126648659500854
2002-04-01,-7.924620743846034e-05,-0.45701360514556977,-0.45810742233460194,0.0708643753213538,0,0.007145437114435125,0.5365849273193173,1.2299511251125195
2002-07-01,-0.2993164263055633,-0.4183991024661693,-0.2738991959485343,0.10660727586810687,0,0.010336407095010325,0.48060540617604125,1.190625371785037
2002-10-01,-0.8481250133169213,0.6647261304357628,0.5884908848657787,0.5256308482931034,1,0.015987424582476536,0.4212150478008648,1.1432660844494695
2003-01-01,-0.7395998747429711,-0.15005851348053312,0.2606162419761511,0.26069259575344506,0,0.011214445787294773,0.468667268778826,1.1817751976094164
2003-04-01,-0.1420142633981608,0.24761717610003448,0.22758890250667174,0.23136832067538304,0,0.00996157944191734,0.48609991101876676,1.1946267267061594
2003-07-01,-0.7175632812413348,0.203386509570401,0.32433646189828574,0.3382353477482263,0,0.012491141901495226,0.45338201106872916,1.1700584151759168
